"Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
3,1,13.6047895266486,1,9,14,13.5,3042,3,3,2,6.31896811374643,5.25749537202778,1980,14,-37.7285,144.8694
3,1,13.4800378216761,2,126,14,13.5,3042,3,2,2,6.04500531403601,4.83628190695148,1995,14,-37.7164,144.8792
3,2,13.1993244185405,4,97,15,13.5,3042,2,2,1,5.08140436498446,4.61512051684126,2010,14,-37.7231,144.8802
3,2,13.6231386653168,4,9,16,13.5,3042,3,2,1,5.68017260901707,4.62497281328427,1960,14,-37.72,144.8776
3,1,13.4371741172444,2,9,19,13.5,3042,3,1,1,6.361302477573,4.72738781871234,1975,14,-37.7226,144.8733
4,1,13.7101500423064,2,57,26,13.5,3042,4,2,3,6.4425401664682,4.98360662170834,1975,14,-37.7256,144.8739
2,1,14.0584567365747,2,60,30,3.3,3206,2,1,0,4.78749174278205,4.40671924726425,1900,16,-37.8459,144.9555
3,1,14.8628295522448,1,20,34,3.3,3206,3,2,0,5.35185813347607,5.28826703069454,1890,16,-37.8481,144.9499
3,1,14.4306961970545,2,53,34,3.3,3206,3,2,0,4.85203026391962,4.89034912822175,1890,16,-37.8452,144.9488
2,1,14.1773720285903,2,129,34,3.3,3206,2,1,0,4.86753445045558,4.39444915467244,1900,16,-37.8431,144.9565
4,1,14.6484196808994,2,84,38,3.3,3206,4,2,1,5.03043792139244,5.19295685089021,1880,16,-37.8447,144.9523
3,1,14.4032972228664,5,53,39,3.3,3206,3,2,1,4.88280192258637,5.06890420222023,1996,16,-37.8415,144.952
2,1,14.5669266466482,2,53,1,3.3,3206,2,1,1,5.29330482472449,4.67282883446191,1900,16,-37.8422,144.9554
3,1,14.4032972228664,2,84,1,3.3,3206,3,2,1,4.49980967033027,4.80402104473326,1900,16,-37.8421,144.9571
3,1,14.7767746554812,2,26,2,3.3,3206,3,2,1,5.17614973257383,5.19849703126583,1880,16,-37.8415,144.9585
3,1,14.1303212978043,2,53,5,3.3,3206,3,2,2,0,4.44265125649032,2000,16,-37.8451,144.9511
2,1,14.0950344427146,2,53,10,3.3,3206,2,1,0,5.00394630594546,4.58496747867057,1890,16,-37.8443,144.9481
2,1,14.2617976605927,2,53,10,3.3,3206,2,1,0,4.94875989037817,4.4188406077966,1890,16,-37.8424,144.9562
3,1,14.5086577385242,5,129,11,3.3,3206,3,2,1,5.35185813347607,4.99043258677874,1900,16,-37.847,144.9575
3,1,14.9174506367251,2,53,14,3.3,3206,3,2,0,4.99043258677874,4.98360662170834,1890,16,-37.8473,144.9551
4,1,14.8451299751454,5,26,15,3.3,3206,4,3,1,5.78996017089725,5.53733426701854,1910,16,-37.8467,144.9475
3,1,14.5574479026937,4,84,21,3.3,3206,2,1,1,4.78749174278205,4.81218435537242,1900,16,-37.8427,144.9546
3,1,14.5086577385242,1,84,22,3.3,3206,3,1,1,5.47227067367148,4.87519732320115,1890,16,-37.8461,144.9528
1,3,13.0001957434301,2,84,23,3.3,3206,1,1,0,0,3.52636052461616,1970,16,-37.8421,144.9517
4,1,15.3704922846023,2,84,23,3.3,3206,4,2,1,5.79909265446053,5.33271879326537,1910,16,-37.8477,144.9558
4,1,14.576316386998,2,53,25,3.3,3206,3,2,1,5.20948615284142,4.97673374242057,1880,16,-37.8434,144.9495
2,1,13.7953078506468,2,53,27,3.3,3206,2,1,0,4.36944785246702,4.21950770517611,1890,16,-37.8387,144.9519
3,1,14.3693956711907,1,84,28,3.3,3206,3,2,2,4.99043258677874,4.89783979995091,1890,16,-37.8448,144.9453
1,1,13.8003969201542,2,84,32,3.3,3206,1,1,0,4.39444915467244,3.98898404656427,1900,16,-37.8411,144.9497
4,1,14.5086577385242,2,16,30,6.4,3078,3,2,4,6.74875954749168,5.57215403217776,1930,5,-37.7707,145.0318
4,1,14.3563803030786,2,33,41,6.4,3078,4,2,1,6.39526159811545,5.31320597904179,1925,5,-37.7717,145.031
5,1,14.8593146101374,2,97,5,6.4,3078,5,4,4,6.69579891705849,5.10594547390058,1910,5,-37.775,145.0268
2,3,13.1721054692991,2,91,6,6.4,3078,2,1,1,4.47733681447821,4.0943445622221,1960,5,-37.7791,145.0306
2,2,13.5985975564007,2,91,6,6.4,3078,2,2,3,5.04342511691925,4.9416424226093,2004,5,-37.7804,145.0308
4,1,14.4198265248176,2,97,16,6.4,3078,4,2,2,6.40687998606931,4.71849887129509,1970,5,-37.7743,145.0316
4,1,14.5574479026937,2,97,16,6.4,3078,4,2,2,6.35437004079735,5.6021188208797,2008,5,-37.7723,145.0319
3,1,13.670484785914,4,60,19,6.4,3078,3,1,1,5.19295685089021,4.87519732320115,2010,5,-37.7802,145.0243
2,3,12.8739020181058,5,97,19,6.4,3078,2,1,1,0,4.0943445622221,1960,5,-37.7773,145.0314
2,3,13.1460799040216,2,81,23,6.4,3078,2,1,1,0,4.11087386417331,1965,5,-37.7805,145.0262
4,1,14.4573644441367,4,88,26,6.4,3078,4,2,2,6.32076829425058,5.605802066296,1930,19,-37.7844,145.0225
4,1,14.4833399305399,2,72,32,6.4,3078,4,2,3,6.37842618365159,5.34710753071747,1920,5,-37.7719,145.0309
3,1,13.1615840905576,5,53,30,13.8,3018,3,2,1,5.8636311755981,5.48893772615669,2015,7,-37.87,144.825
5,1,14.2375049680236,2,53,31,13.8,3018,5,3,3,6.59167373200866,5.59098698051086,2005,7,-37.8721,144.8105
2,2,13.4870064909922,2,60,33,13.8,3018,2,1,2,5.67675380226828,4.8283137373023,2013,7,-37.8687,144.8197
3,1,13.9288392432713,2,8,34,13.8,3018,3,1,2,6.22653666928747,4.78749174278205,1930,7,-37.8693,144.8375
4,1,14.3921239222683,4,53,35,13.8,3018,4,3,6,6.96318998587024,5.39362754635236,1962,7,-37.8681,144.819
3,3,13.3534750983677,2,8,37,13.8,3018,2,1,2,5.73979291217923,4.54329478227,1955,7,-37.8702,144.8143
3,1,13.3999951140026,5,53,38,13.8,3018,3,1,1,6.40025744530882,4.81218435537242,1955,7,-37.8616,144.8116
2,3,13.2707833825226,2,8,41,13.8,3018,2,1,1,5.41610040220442,4.53259949315326,1988,7,-37.8696,144.827
3,1,14.1044418498165,2,60,41,13.8,3018,3,1,4,6.65544035036765,3.09104245335832,1953,7,-37.8697,144.8249
2,3,13.1421660047005,2,142,1,13.8,3018,2,1,1,4.84418708645859,4.33073334028633,1990,7,-37.8686,144.8182
2,3,12.9598444479066,2,60,1,13.8,3018,2,1,2,4.74493212836325,4.04305126783455,1980,7,-37.871,144.8185
2,3,12.8764628389675,4,53,3,13.8,3018,2,1,1,0,4.17438726989564,1965,7,-37.8678,144.8384
4,1,13.6470919063393,2,60,3,13.8,3018,4,1,2,6.61338421837956,4.86753445045558,1950,7,-37.8658,144.8155
3,3,13.5007998131246,4,8,8,13.8,3018,3,2,1,4.23410650459726,4.94875989037817,2014,7,-37.868,144.8286
2,3,13.0103138735957,2,19,10,13.8,3018,2,1,1,4.91998092582813,4.34380542185368,1990,7,-37.8655,144.8299
3,1,13.4269025669225,2,60,11,13.8,3018,3,1,2,6.40687998606931,4.46590811865458,1950,7,-37.8608,144.8124
2,3,13.2707833825226,1,15,12,13.8,3018,2,2,1,5.16478597392351,4.33073334028633,2013,7,-37.8687,144.8268
3,1,13.6411571708195,4,53,14,13.8,3018,3,2,2,6.2803958389602,4.91265488573605,1965,7,-37.86,144.8245
3,3,13.2655975454902,2,150,21,13.8,3018,3,2,1,5.32300997913841,4.72738781871234,2007,7,-37.8684,144.815
2,1,13.6611931975799,4,60,26,13.8,3018,2,2,1,6.51471269087253,4.60517018598809,1950,7,-37.8653,144.8129
3,3,13.5007998131246,4,8,27,13.8,3018,3,2,1,4.24849524204936,1.09861228866811,2014,7,-37.868,144.8285
2,1,13.1911428927992,4,34,32,13.8,3018,2,1,1,5.03695260241363,4.51085950651685,1996,7,-37.8646,144.8272
5,1,13.8970905449567,2,46,30,11.1,3025,5,3,6,6.38350663488401,5.52545293913178,1965,7,-37.8388,144.8567
3,1,13.5683304288218,2,70,30,11.1,3025,3,1,2,6.27852142416584,4.76217393479776,1970,7,-37.8291,144.835
2,2,12.9503881126645,2,60,34,11.1,3025,2,1,1,4.34380542185368,4.34380542185368,2009,7,-37.8351,144.8529
3,1,13.4342501385529,2,46,35,11.1,3025,3,1,2,6.2803958389602,5.11799381241676,1967,7,-37.8284,144.8355
3,1,13.4870064909922,5,53,37,11.1,3025,3,2,1,0,4.86753445045558,2012,7,-37.8379,144.8583
3,1,13.2844822268808,2,150,38,11.1,3025,3,1,1,5.79301360838414,4.77068462446567,1970,7,-37.838,144.8555
3,1,13.4730202490175,1,142,39,11.1,3025,3,1,3,6.29156913955832,4.75359019110636,1960,7,-37.8294,144.8378
4,1,13.6819791653398,4,70,41,11.1,3025,3,1,4,6.3261494731551,5.12989871492307,1965,7,-37.8448,144.8529
3,1,13.4224679698547,2,60,9,11.1,3025,3,2,2,5.14166355650266,4.69134788222914,2012,7,-37.8337,144.8554
3,1,13.4701993726759,2,53,10,11.1,3025,3,1,2,6.37161184723186,4.57471097850338,1960,7,-37.8258,144.8523
4,1,13.448785278172,4,119,19,11.1,3025,4,2,4,5.75257263882563,5.13579843705026,2008,7,-37.8391,144.8467
3,1,13.3374747570213,4,66,20,11.1,3025,5,2,2,5.62040086571715,4.60517018598809,2010,7,-37.8262,144.8443
3,1,13.4987429046174,2,70,20,11.1,3025,3,1,1,6.27476202124194,5.05624580534831,1960,7,-37.8277,144.8385
3,1,13.7440145562592,2,60,20,11.1,3025,3,2,1,6.38012253689976,5.07517381523383,1950,7,-37.8382,144.8649
3,1,13.610943392223,2,60,23,11.1,3025,3,2,3,6.31896811374643,4.86753445045558,1960,7,-37.8318,144.8388
4,1,13.9978321147582,4,129,26,11.1,3025,4,1,4,6.45047042214418,5.06259503302697,1960,7,-37.8375,144.8541
2,3,12.5845090812504,2,70,28,11.1,3025,2,1,1,5.03043792139244,4.24849524204936,1970,7,-37.8332,144.8649
2,3,13.3030168770976,2,72,30,6.3,3143,2,1,1,0,4.33073334028633,1964,17,-37.8543,145.0262
3,3,13.8104980161407,2,84,31,6.3,3143,3,2,2,0,4.60517018598809,1998,17,-37.8552,145.016
3,2,14.0019901249069,2,72,31,6.3,3143,3,2,2,4.61512051684126,4.65396035015752,2000,17,-37.854,145.0135
3,1,14.4776829342248,2,72,31,6.3,3143,3,2,2,5.69035945432406,5.01063529409626,1889,17,-37.8614,145.0274
3,1,14.4414489888308,2,63,34,6.3,3143,3,1,1,5.37989735354046,4.75359019110636,1888,17,-37.8592,145.0182
3,2,14.4667935344255,4,72,34,6.3,3143,3,2,2,0,5.10594547390058,1995,17,-37.8537,145.0267
3,1,14.5333503511146,2,84,34,6.3,3143,3,2,1,5.32300997913841,4.75359019110636,1910,17,-37.8574,145.0281
3,3,13.507625778195,1,84,38,6.3,3143,3,2,1,7.65586401761606,2.63905732961526,1970,17,-37.8543,145.0262
1,1,14.1766754071759,4,72,41,6.3,3143,2,2,1,4.969813299576,4.67282883446191,1900,17,-37.8564,145.0228
1,3,12.5425448821514,1,60,1,6.3,3143,1,1,1,0,3.63758615972639,1975,17,-37.8619,145.0185
2,3,13.2921061519914,2,60,2,6.3,3143,2,1,1,0,4.29045944114839,1970,17,-37.8574,145.0174
2,1,14.0061309175729,2,84,6,6.3,3143,2,1,0,5.51745289646471,4.56434819146784,1910,17,-37.8543,145.016
4,1,14.8454870542422,2,84,6,6.3,3143,4,2,2,6.43615036836943,5.40267738187228,1900,17,-37.8536,145.0173
3,1,14.4032972228664,1,129,10,6.3,3143,3,2,2,6.00388706710654,4.79579054559674,1910,17,-37.8545,145.0145
4,1,14.6039679183285,1,72,10,6.3,3143,4,1,2,6.20455776256869,5.09375020080676,1900,17,-37.8613,145.0264
6,1,15.5247938053681,2,84,13,6.3,3143,5,3,4,7.30720231476474,6.24610676548156,1935,17,-37.8602,145.013
1,3,12.9945300058944,4,72,14,6.3,3143,1,1,1,0,3.97029191355212,1970,17,-37.8531,145.0115
3,1,14.0778748224318,5,72,15,6.3,3143,2,1,2,5.35658627467201,4.66343909411207,1900,17,-37.8542,145.0149
2,3,13.4645336351402,4,53,16,6.3,3143,2,1,1,0,4.30406509320417,1969,17,-37.8573,145.0186
2,3,13.3374747570213,5,84,16,6.3,3143,3,1,1,0,4.58496747867057,1970,17,-37.8596,145.0198
3,1,14.4573644441367,2,84,19,6.3,3143,3,1,2,5.79301360838414,4.68213122712422,1900,17,-37.8559,145.0158
2,3,13.4730202490175,2,72,23,6.3,3143,2,1,1,7.81237820598861,4.38202663467388,1970,17,-37.8573,145.0186
2,3,13.3013460329328,2,60,23,6.3,3143,2,1,1,0,4.47733681447821,1970,17,-37.8593,145.0156
3,1,14.0662692763115,2,84,23,6.3,3143,3,1,2,5.2257466737132,4.38202663467388,1920,17,-37.8554,145.0173
2,3,13.1615840905576,2,60,25,6.3,3143,1,1,1,0,4.33073334028633,1970,17,-37.8618,145.0183
4,1,15.1033648462709,2,72,26,6.3,3143,4,1,2,6.56385552653213,5.52545293913178,1900,17,-37.8574,145.016
4,1,15.2505950832536,5,75,26,6.3,3143,4,3,3,6.33327962813969,5.80814248998044,2000,17,-37.8582,145.0138
3,2,13.9117294157048,2,72,26,6.3,3143,3,1,2,4.63472898822964,1.09861228866811,2000,17,-37.8542,145.0135
3,1,15.0718385926241,2,84,26,6.3,3143,3,2,2,6.42486902390539,5.65248918026865,1998,17,-37.8557,145.0264
3,3,13.6750984042475,2,72,27,6.3,3143,2,1,1,0,4.51085950651685,1940,17,-37.853,145.0264
1,3,13.2481145827099,2,60,28,6.3,3143,1,1,1,0,3.97029191355212,2013,17,-37.8549,145.0113
3,1,13.7536351542462,2,97,31,5.9,3032,3,1,2,5.6970934865054,4.68213122712422,1920,14,-37.7777,144.9195
2,3,13.054084536651,4,17,31,5.9,3032,2,1,1,0,4.12713438504509,1980,14,-37.7761,144.9201
3,1,14.1375940571334,4,97,34,5.9,3032,3,2,2,5.62401750618734,5.15905529921453,1910,14,-37.7777,144.9221
2,3,13.1021606700868,5,72,34,5.9,3032,2,1,1,6.04737217904628,4.12713438504509,1970,14,-37.7736,144.9015
4,1,14.4306961970545,2,17,34,5.9,3032,4,3,1,6.16961073249146,5.59842195899838,1900,14,-37.7729,144.9179
3,1,13.7860817472735,4,97,35,5.9,3032,3,2,2,5.65248918026865,4.85203026391962,1900,14,-37.775,144.9091
2,1,13.4730202490175,1,97,35,5.9,3032,2,1,1,5.36597601502185,4.34380542185368,1890,14,-37.7776,144.9142
6,1,14.7013420823537,1,17,35,5.9,3032,6,3,2,6.92165818415113,6.07534603108868,1887,14,-37.7721,144.9184
2,1,13.5278284855125,4,82,35,5.9,3032,2,1,1,5.42053499927229,4.52178857704904,1920,14,-37.7745,144.9093
2,1,13.8671537911161,2,97,37,5.9,3032,2,1,1,5.59471137960184,4.69134788222914,1900,14,-37.7748,144.929
3,1,14.1354177777108,2,97,37,5.9,3032,3,1,1,6.0330862217988,5.12396397940326,1900,14,-37.7756,144.9208
3,1,13.7850513504796,2,17,38,5.9,3032,3,1,2,5.85793315448346,4.8283137373023,1904,14,-37.7759,144.91
2,1,13.5291609307463,1,97,38,5.9,3032,2,1,1,4.77068462446567,4.36944785246702,1890,14,-37.7807,144.9288
2,1,13.7642172635767,4,118,38,5.9,3032,2,1,1,5.15329159449778,4.62497281328427,1900,14,-37.7731,144.9206
2,3,13.4371741172444,2,17,39,5.9,3032,2,1,2,5.42934562895444,4.49980967033027,1995,14,-37.7718,144.9066
3,1,14.0225247273486,2,97,41,5.9,3032,4,1,2,6.38687931936265,4.99721227376411,1960,14,-37.7819,144.9064
2,1,13.5541457938299,1,97,1,5.9,3032,2,1,1,5.42053499927229,4.46590811865458,1900,14,-37.7774,144.9186
4,1,13.6989767417083,4,118,2,5.9,3032,4,1,1,5.7037824746562,5.22035582507832,1890,14,-37.7766,144.9143
3,1,14.1801536715522,2,97,3,5.9,3032,3,1,1,6.18826412308259,4.87519732320115,1900,14,-37.7725,144.9146
3,1,13.8155105579643,1,17,6,5.9,3032,3,2,2,6.08677472691231,4.78749174278205,1955,14,-37.7746,144.9031
3,1,14.1766754071759,2,97,6,5.9,3032,3,2,2,6.27664348934164,4.99043258677874,1950,14,-37.7737,144.904
1,3,12.8739020181058,2,2,6,5.9,3032,1,1,1,0,4.06044301054642,1972,14,-37.7723,144.9094
3,1,14.1696823716849,1,72,8,5.9,3032,3,2,2,6.20455776256869,4.93447393313069,1920,14,-37.7821,144.9055
4,1,14.1081801719271,2,97,9,5.9,3032,3,2,2,6.52649485957079,5.44673737166631,1978,14,-37.775,144.932
3,1,13.7694666194629,2,17,9,5.9,3032,3,1,1,5.57215403217776,4.76217393479776,1910,14,-37.7753,144.9116
4,1,13.9108207377686,5,97,10,5.9,3032,4,2,5,6.3261494731551,5.27299955856375,1920,14,-37.7791,144.9136
2,3,12.9761808672262,2,15,10,5.9,3032,2,1,1,0,4.12713438504509,1978,14,-37.773,144.9303
4,1,14.3102067998004,2,118,11,5.9,3032,4,3,2,6.33150184989369,5.31811999384422,1890,14,-37.782,144.903
6,1,14.1731850022361,2,97,11,5.9,3032,4,2,1,6.13339804299665,5.65599181081985,1900,14,-37.78,144.9295
2,3,13.3212142361495,4,17,11,5.9,3032,2,1,1,5.70711026474888,4.64439089914137,1995,14,-37.7791,144.914
3,1,13.7536351542462,2,97,11,5.9,3032,3,3,1,6.19644412779452,4.84418708645859,1950,14,-37.7727,144.9136
3,1,13.6989767417083,4,17,12,5.9,3032,3,1,1,5.48893772615669,4.70048036579242,1920,14,-37.7765,144.9114
3,1,13.9810249964418,4,17,13,5.9,3032,3,2,2,6.42486902390539,5.00394630594546,1930,14,-37.7742,144.906
4,1,14.2075526457403,2,118,13,5.9,3032,4,2,2,6.3919171133926,5.19295685089021,1939,14,-37.7757,144.9088
2,2,13.670484785914,4,97,14,5.9,3032,2,2,1,4.98360662170834,4.88280192258637,2015,14,-37.7713,144.9038
2,3,12.9990651610598,2,2,15,5.9,3032,2,1,1,0,4.12713438504509,1975,14,-37.7733,144.9219
3,1,13.852324531087,2,2,16,5.9,3032,3,1,2,6.22653666928747,4.70048036579242,1920,14,-37.7779,144.9133
3,2,13.8643007221337,2,72,16,5.9,3032,3,2,2,5.76205138278018,5.07517381523383,2013,14,-37.7744,144.9035
2,3,12.9945300058944,2,87,16,5.9,3032,2,1,1,0,4.17438726989564,1970,14,-37.7749,144.9137
4,1,14.1731850022361,2,97,19,5.9,3032,4,2,0,6.03548143252476,5.06259503302697,1900,14,-37.7766,144.9187
3,1,13.9377281906885,2,97,21,5.9,3032,3,2,1,5.605802066296,5.05624580534831,1900,14,-37.7774,144.928
3,1,13.9421432088976,2,17,22,5.9,3032,3,1,1,5.69035945432406,4.64439089914137,1910,14,-37.777,144.9176
4,1,13.7642172635767,1,97,22,5.9,3032,4,2,1,5.6970934865054,4.99043258677874,1920,14,-37.7778,144.9131
2,3,12.8739020181058,1,72,23,5.9,3032,2,1,1,7.57916796739608,4.23410650459726,2012,14,-37.7731,144.9074
4,1,14.1119045710181,2,72,23,5.9,3032,4,1,1,6.31354804627709,5.04342511691925,1920,14,-37.7769,144.9138
3,1,14.1386804233456,2,9,23,5.9,3032,3,2,2,6.03068526026126,5.12396397940326,1900,14,-37.7727,144.9055
3,1,13.7536351542462,2,72,24,5.9,3032,3,2,2,5.65248918026865,5.14749447681345,2011,14,-37.7778,144.9061
3,1,13.8104980161407,2,97,24,5.9,3032,3,2,1,5.74939298590825,5.17614973257383,2010,14,-37.7778,144.9042
3,1,13.5747120714113,2,17,24,5.9,3032,3,2,1,6.35610766069589,4.78749174278205,1940,14,-37.7816,144.9217
2,1,13.4659530817944,1,97,25,5.9,3032,2,1,3,5.52942908751142,4.68213122712422,1910,14,-37.7825,144.9206
2,1,13.5410737122625,1,97,25,5.9,3032,2,1,1,4.82028156560504,4.34380542185368,1900,14,-37.7807,144.9285
3,2,13.8155105579643,2,97,26,5.9,3032,3,2,2,5.29831736654804,4.969813299576,2003,14,-37.7766,144.9277
3,1,14.0817135987389,2,9,27,5.9,3032,2,1,1,5.62762111369064,5.11198778835654,1900,14,-37.7768,144.9223
3,1,14.0102546347568,2,133,28,5.9,3032,3,1,1,6.11368217983223,5.16478597392351,1960,14,-37.7762,144.9174
2,3,13.2085410736454,2,97,28,5.9,3032,2,1,2,5.26785815906333,4.26267987704132,1900,14,-37.7772,144.9118
4,1,14.3490756686998,2,72,32,5.9,3032,4,2,4,6.39359075395063,5.60947179518496,2012,14,-37.7774,144.9104
4,1,14.7900701979624,2,84,30,11,3147,4,3,2,6.62406522779989,5.98896141688986,2015,3,-37.8669,145.0767
3,1,14.3283341843929,2,72,31,11,3147,3,2,2,6.39526159811545,5.39362754635236,1930,3,-37.8673,145.0688
3,2,14.5333503511146,2,44,31,11,3147,3,3,4,5.73657229747919,5.75257263882563,2014,3,-37.874,145.0714
3,1,14.2569861035955,2,72,35,11,3147,3,2,2,6.59441345974978,5.00394630594546,1935,3,-37.8666,145.0676
3,1,13.9108207377686,1,84,41,11,3147,3,3,2,5.62040086571715,5.18178355029209,2004,3,-37.8699,145.0778
3,1,14.1059388560841,2,20,41,11,3147,3,1,2,6.36818718635049,4.71849887129509,1950,3,-37.8685,145.0786
8,1,14.897315728316,2,60,1,11,3147,9,7,4,7.29437729928882,6.42648845745769,2009,3,-37.8729,145.0788
3,1,14.2329042369377,2,72,1,11,3147,3,2,2,6.24610676548156,4.97673374242057,1920,3,-37.8675,145.0668
3,1,14.3520039284788,2,60,2,11,3147,3,1,2,6.69208374250663,4.61512051684126,1950,3,-37.8695,145.084
3,1,14.3193115667933,2,72,2,11,3147,3,1,3,6.65929391968364,5.02388052084628,1940,3,-37.8599,145.0815
4,1,14.2537654888954,5,84,6,11,3147,4,2,2,6.65929391968364,5.19295685089021,1938,3,-37.86,145.0817
3,1,14.3235322543975,2,72,9,11,3147,3,2,2,5.86078622346587,5.42934562895444,2006,3,-37.8742,145.07
3,1,14.3253356813967,2,72,10,11,3147,3,2,3,6.55393340402581,4.97673374242057,1945,3,-37.8737,145.0695
